date,river_id,station,state,district_lgd_code,district,latitude,longitude,mean_discharge_m3_sec,max_discharge_m3_sec,min_discharge_m3_sec,readings,year,month,day_of_year,discharge_range,discharge_mean_to_max_ratio,discharge_min_to_mean_ratio,mean_discharge_3day,mean_discharge_7day,mean_discharge_14day,mean_discharge_30day,max_discharge_3day,max_discharge_7day,max_discharge_14day,max_discharge_30day,min_discharge_3day,min_discharge_7day,min_discharge_14day,min_discharge_30day,discharge_std_7day,discharge_std_14day,discharge_std_30day,discharge_change,discharge_change_pct,discharge_change_2nd
2026-02-03,11,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,18.305,20.94,15.58,92,2026,2,34,5.360000000000001,0.8741642788920725,0.8511335700628244,28.89664353993216,28.89664353993216,28.89664353993216,415.4058792518576,55.7,55.7,55.7,106.15,15.58,15.58,15.58,15.58,16.048892722490514,16.048892722490514,990.2544552415739,-2.718191489361704,-0.12929490228622909,23.62035615171137
2026-02-04,12,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.100947368421053,22.93,16.72,95,2026,2,35,6.210000000000001,0.8766222140611013,0.831801590917422,19.809712952594253,26.697719497054383,26.697719497054383,414.82830030448923,24.37,55.7,55.7,106.15,15.58,15.58,15.58,15.58,13.82216961493587,13.82216961493587,990.5218416394047,1.7959473684210536,0.09811239379519554,4.514138857782758
2026-02-05,13,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,21.730777777777774,26.83,16.92,90,2026,2,36,9.909999999999997,0.8099432641736033,0.7786191627849902,20.045575048732942,25.704331153199064,25.704331153199064,410.4422610396604,26.83,55.7,55.7,106.15,15.58,15.58,15.58,15.58,12.1747025284637,12.1747025284637,992.4600577929242,1.629830409356721,0.08108226838687282,-0.16611695906433255
2026-02-06,14,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,29.077263157894738,34.74,15.75,95,2026,2,37,18.990000000000002,0.8369966366693936,0.5416603314581115,23.636329434697856,26.266486487315007,26.266486487315007,402.5821379193597,34.74,55.7,55.7,55.7,15.75,15.58,15.58,15.58,10.976102087868643,10.976102087868643,995.6880446555227,7.346485380116963,0.338068220808442,5.716654970760242
2026-02-07,15,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,103.19072916666666,119.7,90.11,96,2026,2,38,29.590000000000003,0.8620779379003062,0.8732373608336506,51.33292336744639,37.25566401293668,37.25566401293668,37.25566401293668,119.7,119.7,119.7,119.7,15.75,15.58,15.58,15.58,30.752720850305696,30.752720850305696,30.752720850298743,74.11346600877192,2.5488460040521197,66.76698062865496
2026-02-08,16,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,1371.1694791666666,,271.02,96,2026,2,39,,,0.19765609147361812,501.14582383040937,226.3710554466841,203.99489090715292,203.99489090715292,119.7,119.7,119.7,119.7,15.75,15.58,15.58,15.58,505.7248747428294,472.46839456108637,472.46839456108603,1267.97875,12.287719645357354,1193.8652839912281
2026-03-02,17,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.78462365591398,24.68,17.49,93,2026,3,61,7.190000000000001,0.8421646538052666,0.8414874519521771,20.78462365591398,20.78462365591398,20.78462365591398,183.63819454590416,24.68,24.68,24.68,119.7,17.49,17.49,17.49,15.58,0.0,0.0,446.153159416624,-1350.3848555107527,-0.984841681519526,-2618.3636055107527
2026-03-03,18,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,18.286947368421053,21.37,14.59,95,2026,3,62,6.780000000000001,0.8557298721769327,0.7978368235036781,19.535785512167514,19.535785512167514,19.535785512167514,180.40766212790265,24.68,24.68,24.68,119.7,14.59,14.59,14.59,14.59,1.7661238400950874,1.7661238400950874,447.366875288713,-2.4976762874929257,-0.12016942566974242,1347.8871792232599
2026-03-04,19,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,19.940631578947368,24.31,17.1,95,2026,3,63,7.209999999999997,0.820264565156206,0.8575455562828608,19.670734201094135,19.670734201094135,19.670734201094135,180.28737769341217,24.68,24.68,24.68,119.7,14.59,14.59,14.59,14.59,1.2705235752260358,1.2705235752260358,447.4152289878581,1.6536842105263148,0.09042975720387281,4.1513604980192405
2026-03-05,20,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,22.751894736842104,27.29,18.64,95,2026,3,64,8.649999999999999,0.8337081252049141,0.8192724261252967,20.32649122807018,20.441024335031127,20.441024335031127,180.7814771086168,27.29,27.29,27.29,119.7,14.59,14.59,14.59,14.59,1.857293998958193,1.857293998958193,447.21639582269336,2.811263157894736,0.14098165079499148,1.157578947368421
2026-03-06,21,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,28.572659574468084,32.56,23.8,94,2026,3,65,8.760000000000002,0.8775386847195357,0.8329641116526363,23.755061963419184,22.067351382918517,22.067351382918517,181.72277846484428,32.56,32.56,32.56,119.7,17.1,14.59,14.59,14.59,3.976412212331008,3.976412212331008,446.84468143367286,5.82076483762598,0.2558364876838335,3.009501679731244
2026-03-07,22,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,87.85020833333334,108.42,66.57,96,2026,3,66,41.85000000000001,0.8102767785771383,0.7577671272834202,46.39158754821451,33.03116087465432,33.03116087465432,189.069381859906,108.42,108.42,108.42,119.7,18.64,14.59,14.59,14.59,27.09022323075904,27.09022323075904,444.42240893528464,59.27754875886526,2.074624821129161,53.45678392123928
2026-03-08,23,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,346.8594791666667,477.91,280.99,96,2026,3,67,196.92000000000002,0.7257840998653861,0.8100975088675139,154.42744902482272,77.86377777351322,77.86377777351322,224.37851697199176,477.91,477.91,477.91,477.91,23.8,14.59,14.59,14.59,121.16646233553757,121.16646233553757,442.74284890763306,259.00927083333335,2.9483057097663874,199.73172207446808
2026-04-01,24,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,25.025,40.49,21.62,40,2026,4,91,18.87,0.6180538404544331,0.863936063936064,25.025,25.025,25.025,78.46954582266838,40.49,40.49,40.49,477.91,21.62,21.62,21.62,14.59,0.0,0.0,120.84370586751396,-321.8344791666667,-0.9278526276400956,-580.84375
2026-04-02,25,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.76234042553192,24.88,17.18,94,2026,4,92,7.699999999999999,0.8344992132448522,0.8274597009725052,22.89367021276596,22.89367021276596,22.89367021276596,78.82317340225563,40.49,40.49,40.49,477.91,17.18,17.18,17.18,17.1,3.014155490996142,3.014155490996142,120.64169298488271,-4.262659574468078,-0.17033604693179127,317.5718195921986
2026-04-03,26,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,18.774787234042552,25.66,14.67,94,2026,4,93,10.99,0.7316752624334588,0.7813670438512491,21.52070921985816,21.52070921985816,21.52070921985816,78.6566242101264,40.49,40.49,40.49,477.91,14.67,14.67,14.67,14.67,3.1933731892922004,3.1933731892922004,120.73729698326555,-1.9875531914893685,-0.09572876423147503,2.2751063829787093
2026-04-04,27,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,19.961290322580645,23.48,16.92,93,2026,4,94,6.559999999999999,0.8501401329889542,0.8476405946994183,19.832805994051707,21.130854495538777,21.130854495538777,78.25796643666045,25.66,40.49,40.49,477.91,14.67,14.67,14.67,14.67,2.7214643806273453,2.7214643806273453,120.95705866373855,1.1865030885380925,0.06319661968721113,3.174056280027461
2026-04-05,28,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,23.56484210526316,26.94,16.86,95,2026,4,95,10.080000000000002,0.8747157425858634,0.7154726488167027,20.76697322062879,21.617652017483657,21.617652017483657,77.54256394105975,26.94,40.49,40.49,477.91,14.67,14.67,14.67,14.67,2.596080780354474,2.596080780354474,121.31418285422018,3.6035517826825156,0.1805269962235907,2.417048694144423
