uei,start_date,end_date,duration_days,main_cause,location,districts,state,latitude,longitude,severity,area_affected,human_fatality,human_injured,human_displaced,animal_fatality,extent_of_damage,event_source,event_souce_id,district_lgd_codes,state_codes,severity_score,flood_location_raw,flood_site_raw,flood_year,flood_month,flood_day_of_year,flood_month_sin,flood_month_cos,fatality_present,displacement_present,injury_present,area_affected_numeric,historical_flood_count_location,historical_flood_severity_mean_location,historical_flood_severity_max_location,historical_flood_duration_mean_location,historical_flood_duration_max_location,historical_flood_fatality_mean_location,historical_flood_fatality_max_location,historical_flood_displacement_mean_location,historical_flood_displacement_max_location
UEI-IMD-FL-2021-0306,2021-02-07,2021-02-07,1.0,Nandadevi Glacier breaks off at Joshimath,,Chamoli,Uttarakhand,,,,,70.0,,205.0,,,IMD,,47,5,,Chamoli,,2021,2,38,0.8660254037844386,0.5000000000000001,1,1,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-2021-0307,2021-05-29,2021-05-29,1.0,Landslide,,Uttar Kashi Kashi ,Uttarakhand,,,,,,,,,,IMD,,,5,,Uttar Kashi Kashi ,,2021,5,149,0.49999999999999994,-0.8660254037844387,0,0,0,,1,,,1.0,1.0,,,,
UEI-IMD-FL-2021-0308,2021-07-11,2021-07-11,1.0,Landslide,,Bageshwar,Uttarakhand,,,,,3.0,,,,,IMD,,46,5,,Bageshwar,,2021,7,192,-0.4999999999999997,-0.8660254037844388,1,0,0,,3,,,1.0,1.0,10.5,18.0,,
UEI-IMD-FL-2021-0309,2021-07-11,2021-07-11,1.0,Landslide,,Chamoli ,Uttarakhand,,,,,3.0,,,,,IMD,,47,5,,Chamoli ,,2021,7,192,-0.4999999999999997,-0.8660254037844388,1,0,0,,1,,,1.0,1.0,3.0,3.0,,
UEI-IMD-FL-2021-0310,2021-07-19,2021-07-19,1.0,Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,3.0,,,,,IMD,,,5,,Uttar Kashi Kashi,,2021,7,200,-0.4999999999999997,-0.8660254037844388,1,0,0,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-2021-0311,2021-08-29,2021-08-29,1.0, Heavy Rains,,Pithoragarh,Uttarakhand,,,,,7.0,2.0,,,,IMD,,53,5,,Pithoragarh,,2021,8,241,-0.8660254037844385,-0.5000000000000004,1,0,1,,7,,,1.1428571428571428,2.0,10.857142857142858,43.0,5.0,8.0
UEI-IMD-FL-2021-0312,2021-10-16,2021-10-19,4.0,"Heavy Rain, Landslides & Floods",,"Almora, Bageshwar, Chamoli, Champawat, Nainital, Garhwal, Pithoragarh, Udam Singh Nagar",Uttarakhand,,,,,52.0,17.0,5.0,,,IMD,,"45, 46, 47, 48, 51, 52, 53, 56",5,,"Almora, Bageshwar, Chamoli, Champawat, Nainital, Garhwal, Pithoragarh, Udam Singh Nagar",,2021,10,289,-0.8660254037844386,0.5000000000000001,1,1,1,,1,,,4.0,4.0,52.0,52.0,5.0,5.0
UEI-IMD-FL-2022-1098,2022-07-19,2022-07-19,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,2.0,6.0,,,,IMD,,54,5,,Rudra Prayag,,2022,7,200,-0.4999999999999997,-0.8660254037844388,1,0,1,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2022-1101,2022-08-19,2022-08-19,1.0,Cloudburst,,Tehri Garhwal,Uttarakhand,,,,,5.0,,2.0,,,IMD,,55,5,,Tehri Garhwal,,2022,8,231,-0.8660254037844385,-0.5000000000000004,1,1,0,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2022-1100,2022-08-19,2022-08-19,1.0,Cloudburst,,Garhwal,Uttarakhand,,,,,2.0,,,,,IMD,,52,5,,Garhwal,,2022,8,231,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
